P_ID,Flow,Word count,NAs
0,0.6866911689415001,20,1

1,0.693348375426688,20,1

2,0.6866911689415001,20,1

3,0.6866911689415001,20,1

4,0.6927260643476636,20,1

5,0.6927260643476636,20,1

6,0.6866911689415001,20,1

7,0.6866911689415001,20,1

8,0.6949337836957967,20,1

9,0.6866911689415001,20,1

10,0.6867020794016399,20,1

11,0.6866911689415001,20,1

12,0.6866911689415001,20,1

13,0.6983041476960717,20,1

14,0.6866911689415001,20,1

15,0.6903653438863028,20,1

16,0.6829595537507258,20,1

17,0.6866911689415001,20,1

18,0.6829595537507258,20,1

19,0.6866911689415001,20,1

20,0.693348375426688,20,1

21,0.6874645110815191,20,1

22,0.6927260643476636,20,1

23,0.6927260643476636,20,1

24,0.6927260643476636,20,1

